"namekey";"personalname";"gender";"ethnicity";"class";"personkey";"inscriptionkey";"corpusidnumber";"corpusname";"corpusidnumeric";"comment";"ethnicname";"groupnamecategory";"origin"
2176;"Markos";"Male";"Roman";"Personal name";10149;10146;"1420|5523";"IG Bulg 3,1";41420;"";"Assyrios";"Region";""
1125;"Menemachos";"Male";"Greek";"Grandparent name";10149;10146;"1420|5523";"IG Bulg 3,1";41420;"";"Assyrios";"Region";""
1197;"Moukinos";"Male";"Thracian";"Personal name";10233;10230;"1303";"IG Bulg 3,1";41303;"";"Philippopoleites";"City";"Greek"
10260;"[Au]loumenes";"Male";"Thracian";"Personal name";10261;10259;"1316|5493 bis";"IG Bulg 3,1";41316;"";"Serdai";"Tribe";"Thracian"
2462;"Longeinos";"Male";"Roman";"Personal name";10322;10317;"1340";"IG Bulg 3,1";41340;"";"Bourdapenos";"Village";"Thracian"
10325;"Eptelos";"Male";"Thracian";"Parent name";10326;10324;"1341";"IG Bulg 3,1";41341;"";"Bourdapenos";"Village";"Thracian"
1599;"Tatazia";"Female";"Thracian";"Personal name";10326;10324;"1341";"IG Bulg 3,1";41341;"";"Bourdapenos";"Village";"Thracian"
1195;"Moukazenis";"Male";"Thracian";"Parent name";10653;10651;"2194";"IG Bulg 4";62194;"";"Stronylenos";"Village";"Thracian"
6097;"[?]as";"Ambiguous";"Uncertain";"Personal name";10653;10651;"2194";"IG Bulg 4";62194;"";"Stronylenos";"Village";"Thracian"
313;"Brisoulas";"Male";"Thracian";"Personal name";10933;10931;"2251|5879";"IG Bulg 4";62251;"";"Petradenos";"Village";"Uncertain"
2189;"Aurelios";"Male";"Roman";"Personal name";11149;11095;"1517|5550";"IG Bulg 3,1";41517;"";"Syros";"Region";"Uncertain"
11134;"Ason";"Male";"Uncertain";"Parent name";11149;11095;"1517|5550";"IG Bulg 3,1";41517;"";"Syros";"Region";"Uncertain"
118;"Antigonos";"Male";"Greek";"Personal name";11612;11611;"5003";"IG Bulg 5";75003;"";"Makedones";"Tribe";"Greek"
793;"Herakleitos";"Male";"Greek";"Parent name";11612;11611;"5003";"IG Bulg 5";75003;"";"Makedones";"Tribe";"Greek"
1368;"Pontikos";"Male";"Greek";"Parent name";11711;11708;"5068";"IG Bulg 5";75068;"";"Amastrianos";"City";"Greek"
11709;"Holokalos";"Male";"Greek";"Personal name";11711;11708;"5068";"IG Bulg 5";75068;"";"Amastrianos";"City";"Greek"
2176;"Markos";"Male";"Roman";"Personal name";11810;11808;"5134";"IG Bulg 5";75134;"";"Anchialeos/oi";"City";"Greek"
389;"Demetrianos";"Male";"Greek";"Personal name";11908;11907;"5244";"IG Bulg 5";75244;"";"Sousionos";"City";""
7929;"Sousion";"Male";"Greek";"Parent name";11908;11907;"5244";"IG Bulg 5";75244;"";"Sousionos";"City";""
11909;"Monteias";"Male";"Uncertain";"Parent name";11910;11907;"5244";"IG Bulg 5";75244;"";"Monteianos";"City";"Roman"
2185;"Antonios";"Male";"Roman";"Personal name";11910;11907;"5244";"IG Bulg 5";75244;"";"Monteianos";"City";"Roman"
796;"Heraklianos / Herakleianos";"Male";"Greek";"Personal name";11916;11907;"5244";"IG Bulg 5";75244;"";"Sousionos";"City";""
7929;"Sousion";"Male";"Greek";"Parent name";11916;11907;"5244";"IG Bulg 5";75244;"";"Sousionos";"City";""
2178;"Tiberios";"Male";"Roman";"Personal name";11923;11907;"5244";"IG Bulg 5";75244;"";"Oulpianoi Anchialeoi";"City";"Greek"
2196;"Klaudios";"Male";"Roman";"Personal name";11923;11907;"5244";"IG Bulg 5";75244;"";"Oulpianoi Anchialeoi";"City";"Greek"
1239;"Nikomachos";"Male";"Greek";"Personal name";12220;12146;"62";"Perinthos-Herakleia";80062;"";"Byzantios";"City";"Greek"
1576;"Straton";"Male";"Greek";"Parent name";12220;12146;"62";"Perinthos-Herakleia";80062;"";"Byzantios";"City";"Greek"
